layer,probe_acc,chance,encoder,task,target
11,0.9015151515151516,0.25,mert330,instrument_id,program
12,0.8626262626262626,0.25,mert330,instrument_id,program
13,0.8363636363636363,0.25,mert330,instrument_id,program
14,0.8530303030303029,0.25,mert330,instrument_id,program
15,0.8363636363636363,0.25,mert330,instrument_id,program
16,0.8919191919191919,0.25,mert330,instrument_id,program
17,0.7863636363636365,0.25,mert330,instrument_id,program
18,0.7767676767676767,0.25,mert330,instrument_id,program
19,0.7616161616161615,0.25,mert330,instrument_id,program
20,0.8085858585858586,0.25,mert330,instrument_id,program
21,0.8045454545454546,0.25,mert330,instrument_id,program
22,0.8055555555555555,0.25,mert330,instrument_id,program
23,0.8055555555555555,0.25,mert330,instrument_id,program
24,0.7434343434343433,0.25,mert330,instrument_id,program
0,0.0957138852323143,0.0833333333333333,mert330,interval_id,ground_truth
1,0.1239487348252157,0.0833333333333333,mert330,interval_id,ground_truth
2,0.1092523523962751,0.0833333333333333,mert330,interval_id,ground_truth
3,0.1317006728097118,0.0833333333333333,mert330,interval_id,ground_truth
4,0.1689977329237969,0.0833333333333333,mert330,interval_id,ground_truth
5,0.1486671785870995,0.0833333333333333,mert330,interval_id,ground_truth
6,0.1472045487787041,0.0833333333333333,mert330,interval_id,ground_truth
7,0.1696528691921408,0.0833333333333333,mert330,interval_id,ground_truth
8,0.161093437667593,0.0833333333333333,mert330,interval_id,ground_truth
9,0.1680378821120374,0.0833333333333333,mert330,interval_id,ground_truth
10,0.1401077470625518,0.0833333333333333,mert330,interval_id,ground_truth
11,0.1323558090780556,0.0833333333333333,mert330,interval_id,ground_truth
12,0.1275291307103505,0.0833333333333333,mert330,interval_id,ground_truth
13,0.1128327482814099,0.0833333333333333,mert330,interval_id,ground_truth
14,0.1346259324265028,0.0833333333333333,mert330,interval_id,ground_truth
15,0.1191220564575106,0.0833333333333333,mert330,interval_id,ground_truth
16,0.1246038710935595,0.0833333333333333,mert330,interval_id,ground_truth
17,0.1308931792696601,0.0833333333333333,mert330,interval_id,ground_truth
18,0.144782068158549,0.0833333333333333,mert330,interval_id,ground_truth
19,0.1384927599824484,0.0833333333333333,mert330,interval_id,ground_truth
20,0.1420731558675832,0.0833333333333333,mert330,interval_id,ground_truth
21,0.0971765150407098,0.0833333333333333,mert330,interval_id,ground_truth
22,0.1237963775535078,0.0833333333333333,mert330,interval_id,ground_truth
23,0.1105626249329628,0.0833333333333333,mert330,interval_id,ground_truth
24,0.1028106869484666,0.0833333333333333,mert330,interval_id,ground_truth
0,0.04508547008547,0.0416666666666666,mert330,key_id,ground_truth
1,0.2079059829059829,0.0416666666666666,mert330,key_id,ground_truth
2,0.19508547008547,0.0416666666666666,mert330,key_id,ground_truth
3,0.1467948717948718,0.0416666666666666,mert330,key_id,ground_truth
4,0.1245726495726495,0.0416666666666666,mert330,key_id,ground_truth
5,0.1273504273504273,0.0416666666666666,mert330,key_id,ground_truth
6,0.1318376068376068,0.0416666666666666,mert330,key_id,ground_truth
7,0.1401709401709401,0.0416666666666666,mert330,key_id,ground_truth
8,0.1401709401709401,0.0416666666666666,mert330,key_id,ground_truth
9,0.1273504273504273,0.0416666666666666,mert330,key_id,ground_truth
10,0.1485042735042735,0.0416666666666666,mert330,key_id,ground_truth
11,0.1485042735042735,0.0416666666666666,mert330,key_id,ground_truth
12,0.1467948717948718,0.0416666666666666,mert330,key_id,ground_truth
13,0.1606837606837606,0.0416666666666666,mert330,key_id,ground_truth
14,0.1991452991452991,0.0416666666666666,mert330,key_id,ground_truth
15,0.1752136752136752,0.0416666666666666,mert330,key_id,ground_truth
16,0.1818376068376068,0.0416666666666666,mert330,key_id,ground_truth
17,0.154059829059829,0.0416666666666666,mert330,key_id,ground_truth
18,0.1335470085470085,0.0416666666666666,mert330,key_id,ground_truth
19,0.1179487179487179,0.0416666666666666,mert330,key_id,ground_truth
20,0.1079059829059829,0.0416666666666666,mert330,key_id,ground_truth
21,0.0967948717948718,0.0416666666666666,mert330,key_id,ground_truth
22,0.0884615384615384,0.0416666666666666,mert330,key_id,ground_truth
23,0.0995726495726495,0.0416666666666666,mert330,key_id,ground_truth
24,0.0756410256410256,0.0416666666666666,mert330,key_id,ground_truth
0,0.0601364522417154,0.0769230769230769,mert330,mode_id,ground_truth
1,0.0379142300194931,0.0769230769230769,mert330,mode_id,ground_truth
2,0.0291423001949317,0.0769230769230769,mert330,mode_id,ground_truth
3,0.0291423001949317,0.0769230769230769,mert330,mode_id,ground_truth
4,0.0559454191033138,0.0769230769230769,mert330,mode_id,ground_truth
5,0.0379142300194931,0.0769230769230769,mert330,mode_id,ground_truth
6,0.0314814814814814,0.0769230769230769,mert330,mode_id,ground_truth
7,0.038401559454191,0.0769230769230769,mert330,mode_id,ground_truth
8,0.0374269005847953,0.0769230769230769,mert330,mode_id,ground_truth
9,0.0652046783625731,0.0769230769230769,mert330,mode_id,ground_truth
10,0.0559454191033138,0.0769230769230769,mert330,mode_id,ground_truth
11,0.0471734892787524,0.0769230769230769,mert330,mode_id,ground_truth
12,0.0577972709551657,0.0769230769230769,mert330,mode_id,ground_truth
13,0.0466861598440545,0.0769230769230769,mert330,mode_id,ground_truth
14,0.0471734892787524,0.0769230769230769,mert330,mode_id,ground_truth
15,0.0291423001949317,0.0769230769230769,mert330,mode_id,ground_truth
16,0.0360623781676413,0.0769230769230769,mert330,mode_id,ground_truth
17,0.0291423001949317,0.0769230769230769,mert330,mode_id,ground_truth
18,0.038401559454191,0.0769230769230769,mert330,mode_id,ground_truth
19,0.0291423001949317,0.0769230769230769,mert330,mode_id,ground_truth
20,0.0198830409356725,0.0769230769230769,mert330,mode_id,ground_truth
21,0.0222222222222222,0.0769230769230769,mert330,mode_id,ground_truth
