task,layer,attn_audio_frac,uniform_frac,view,step
key_id,33.0,0.015965779622395832,0.6076133287877213,by_layer,
key_id,34.0,0.030812581380208332,0.6076133287877213,by_layer,
key_id,35.0,0.025807698567708332,0.6076133287877213,by_layer,
key_id,36.0,0.020894368489583332,0.6076133287877213,by_layer,
key_id,37.0,0.026499430338541668,0.6076133287877213,by_layer,
key_id,38.0,0.024968465169270832,0.6076133287877213,by_layer,
key_id,39.0,0.0217132568359375,0.6076133287877213,by_layer,
key_id,40.0,0.01446533203125,0.6076133287877213,by_layer,
key_id,41.0,0.012593587239583334,0.6076133287877213,by_layer,
key_id,42.0,0.0200347900390625,0.6076133287877213,by_layer,
key_id,43.0,0.029296875,0.6076133287877213,by_layer,
key_id,44.0,0.032257080078125,0.6076133287877213,by_layer,
key_id,45.0,0.026814778645833332,0.6076133287877213,by_layer,
key_id,46.0,0.045633951822916664,0.6076133287877213,by_layer,
key_id,47.0,0.06404622395833333,0.6076133287877213,by_layer,
mode_id,0.0,0.06309000651041667,0.629052123479437,by_layer,
mode_id,1.0,0.023371378580729168,0.629052123479437,by_layer,
mode_id,2.0,0.054585774739583336,0.629052123479437,by_layer,
mode_id,3.0,0.014241536458333334,0.629052123479437,by_layer,
mode_id,4.0,0.053304036458333336,0.629052123479437,by_layer,
mode_id,5.0,0.026865641276041668,0.629052123479437,by_layer,
mode_id,6.0,0.07503255208333333,0.629052123479437,by_layer,
mode_id,7.0,0.040445963541666664,0.629052123479437,by_layer,
mode_id,8.0,0.017852783203125,0.629052123479437,by_layer,
mode_id,9.0,0.031026204427083332,0.629052123479437,by_layer,
mode_id,10.0,0.023656209309895832,0.629052123479437,by_layer,
mode_id,11.0,0.025507609049479168,0.629052123479437,by_layer,
mode_id,12.0,0.029195149739583332,0.629052123479437,by_layer,
mode_id,13.0,0.035954793294270836,0.629052123479437,by_layer,
mode_id,14.0,0.0469970703125,0.629052123479437,by_layer,
mode_id,15.0,0.0570068359375,0.629052123479437,by_layer,
mode_id,16.0,0.027643839518229168,0.629052123479437,by_layer,
mode_id,17.0,0.030543009440104168,0.629052123479437,by_layer,
mode_id,18.0,0.036295572916666664,0.629052123479437,by_layer,
mode_id,19.0,0.030588785807291668,0.629052123479437,by_layer,
mode_id,20.0,0.027308146158854168,0.629052123479437,by_layer,
mode_id,21.0,0.026133219401041668,0.629052123479437,by_layer,
mode_id,22.0,0.037760416666666664,0.629052123479437,by_layer,
mode_id,23.0,0.035146077473958336,0.629052123479437,by_layer,
mode_id,24.0,0.033793131510416664,0.629052123479437,by_layer,
mode_id,25.0,0.032480875651041664,0.629052123479437,by_layer,
mode_id,26.0,0.047719319661458336,0.629052123479437,by_layer,
mode_id,27.0,0.032887776692708336,0.629052123479437,by_layer,
mode_id,28.0,0.0234222412109375,0.629052123479437,by_layer,
mode_id,29.0,0.028696695963541668,0.629052123479437,by_layer,
mode_id,30.0,0.035257975260416664,0.629052123479437,by_layer,
mode_id,31.0,0.030253092447916668,0.629052123479437,by_layer,
mode_id,32.0,0.023162841796875,0.629052123479437,by_layer,
mode_id,33.0,0.016682942708333332,0.629052123479437,by_layer,
mode_id,34.0,0.03485107421875,0.629052123479437,by_layer,
mode_id,35.0,0.027557373046875,0.629052123479437,by_layer,
mode_id,36.0,0.0230560302734375,0.629052123479437,by_layer,
mode_id,37.0,0.02471923828125,0.629052123479437,by_layer,
mode_id,38.0,0.029754638671875,0.629052123479437,by_layer,
mode_id,39.0,0.023778279622395832,0.629052123479437,by_layer,
mode_id,40.0,0.016571044921875,0.629052123479437,by_layer,
mode_id,41.0,0.014790852864583334,0.629052123479437,by_layer,
mode_id,42.0,0.021479288736979168,0.629052123479437,by_layer,
mode_id,43.0,0.04205322265625,0.629052123479437,by_layer,
mode_id,44.0,0.038248697916666664,0.629052123479437,by_layer,
mode_id,45.0,0.031880696614583336,0.629052123479437,by_layer,
mode_id,46.0,0.05462646484375,0.629052123479437,by_layer,
mode_id,47.0,0.06512451171875,0.629052123479437,by_layer,
note_count,0.0,0.049580891927083336,0.5057221828103003,by_layer,
note_count,1.0,0.021382649739583332,0.5057221828103003,by_layer,
note_count,2.0,0.041371663411458336,0.5057221828103003,by_layer,
